[2026-07-26 21:06:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:27] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:28] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 21:06:29] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:30] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:31] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:32] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:34] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:35] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:37] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:38] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:39] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:40] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:42] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:44] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:46] sensors/moisture: {'value': 3, 'level': 'dry'}
[2026-07-26 21:06:47] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:48] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:49] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 21:06:50] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:52] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:53] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:54] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:55] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:57] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:58] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:59] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:00] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:01] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:02] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:03] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:04] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:05] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:06] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:09] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:10] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:11] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:25] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:27] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:28] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:29] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:30] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:31] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:32] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:34] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:35] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:37] sensors/moisture: {'value': 2012, 'level': 'wet'}
[2026-07-26 22:11:38] sensors/moisture: {'value': 1957, 'level': 'wet'}
[2026-07-26 22:11:39] sensors/moisture: {'value': 1926, 'level': 'wet'}
[2026-07-26 22:11:40] sensors/moisture: {'value': 1712, 'level': 'wet'}
[2026-07-26 22:11:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:42] sensors/moisture: {'value': 4, 'level': 'dry'}
[2026-07-26 22:11:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:44] sensors/moisture: {'value': 3, 'level': 'dry'}
[2026-07-26 22:11:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:46] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:47] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:48] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:49] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:50] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:11:52] sensors/moisture: {'value': 1848, 'level': 'wet'}
[2026-07-26 22:11:53] sensors/moisture: {'value': 1956, 'level': 'wet'}
[2026-07-26 22:11:54] sensors/moisture: {'value': 1925, 'level': 'wet'}
[2026-07-26 22:11:55] sensors/moisture: {'value': 1909, 'level': 'wet'}
[2026-07-26 22:11:56] sensors/moisture: {'value': 1898, 'level': 'wet'}
[2026-07-26 22:11:57] sensors/moisture: {'value': 1898, 'level': 'wet'}
[2026-07-26 22:11:58] sensors/moisture: {'value': 1885, 'level': 'wet'}
[2026-07-26 22:11:59] sensors/moisture: {'value': 1852, 'level': 'wet'}
[2026-07-26 22:12:00] sensors/moisture: {'value': 1836, 'level': 'wet'}
[2026-07-26 22:12:01] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:02] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:03] sensors/moisture: {'value': 76, 'level': 'dry'}
[2026-07-26 22:12:04] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:05] sensors/moisture: {'value': 746, 'level': 'wet'}
[2026-07-26 22:12:06] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:12:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:10] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:12:11] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:12] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:13] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:14] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:15] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:12:16] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:17] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:18] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:19] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:20] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:12:21] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:23] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:24] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:25] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:27] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:28] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:29] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:30] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:31] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:34] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:35] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:37] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:38] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:39] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:40] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:42] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:44] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:46] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:47] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:48] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:49] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:50] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:52] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:53] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:54] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:55] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:56] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:57] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:58] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:48:59] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:00] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:01] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:02] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:03] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:04] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:05] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:06] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:09] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:10] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:11] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:12] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:13] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:14] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:15] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:16] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:17] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:19] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:20] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:21] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:22] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:23] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:24] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:25] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:27] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:49:28] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:29] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:30] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:49:31] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:49:32] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:34] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:35] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:37] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:38] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:39] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:40] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:42] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:44] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:46] sensors/moisture: {'value': 0, 'level': 'dry'}
